"","State","county","fips","pred","with_without"
"3257","Illinois","La Salle County",17099,-16.9830481817889,"without"
"3258","Illinois","Lawrence County",17101,-11.4740181260922,"without"
"3259","Illinois","Lee County",17103,-16.5450216993452,"without"
"3260","Illinois","Livingston County",17105,-17.0293564486945,"without"
"3261","Illinois","Logan County",17107,-13.3176262498234,"without"
"3262","Illinois","Mcdonough County",17109,-10.6505802055161,"without"
"3263","Illinois","Mchenry County",17111,-18.4753665236131,"without"
"3264","Illinois","Mclean County",17113,-12.2583536349615,"without"
"3265","Illinois","Macon County",17115,-17.0118624904034,"without"
"3266","Illinois","Macoupin County",17117,-17.7192611694418,"without"
"3267","Illinois","Madison County",17119,-17.4876284037168,"without"
"3268","Illinois","Marion County",17121,-18.497139927091,"without"
"3269","Illinois","Marshall County",17123,-15.5732686184133,"without"
"3270","Illinois","Mason County",17125,-16.0095328841671,"without"
"3271","Illinois","Massac County",17127,-12.6672133082401,"without"
"3272","Illinois","Menard County",17129,-17.2568741734063,"without"
"3273","Illinois","Mercer County",17131,-15.2698205766924,"without"
"3274","Illinois","Monroe County",17133,-18.7806187857913,"without"
"3275","Illinois","Montgomery County",17135,-16.5342513183453,"without"
"3276","Illinois","Morgan County",17137,-14.0057894315201,"without"
"3277","Illinois","Moultrie County",17139,-16.2373027579313,"without"
"3278","Illinois","Ogle County",17141,-20.1370310099461,"without"
"3279","Illinois","Peoria County",17143,-17.6747569165479,"without"
"3280","Illinois","Perry County",17145,-13.4132631146538,"without"
"3281","Illinois","Piatt County",17147,-16.9544958571899,"without"
"3282","Illinois","Pike County",17149,-13.6652865031623,"without"
"3283","Illinois","Pope County",17151,NA,"without"
"3284","Illinois","Pulaski County",17153,NA,"without"
"3285","Illinois","Putnam County",17155,NA,"without"
"3286","Illinois","Randolph County",17157,-18.2881528095945,"without"
"3287","Illinois","Richland County",17159,-16.087644312259,"without"
"3288","Illinois","Rock Island County",17161,-18.7462264408627,"without"
"3289","Illinois","St Clair County",17163,-18.2176034511255,"without"
"3290","Illinois","Saline County",17165,-15.1561404218772,"without"
"3291","Illinois","Sangamon County",17167,-16.4114932538327,"without"
"3292","Illinois","Schuyler County",17169,-18.422029503988,"without"
"3293","Illinois","Scott County",17171,NA,"without"
"3294","Illinois","Shelby County",17173,-15.8213624000986,"without"
"3295","Illinois","Stark County",17175,NA,"without"
"3296","Illinois","Stephenson County",17177,-16.2934176643575,"without"
"3297","Illinois","Tazewell County",17179,-17.1106694005499,"without"
"3298","Illinois","Union County",17181,-16.4672981373241,"without"
"3299","Illinois","Vermilion County",17183,-15.8125162390446,"without"
"3300","Illinois","Wabash County",17185,-14.0098940857563,"without"
"3301","Illinois","Warren County",17187,-16.9409913684721,"without"
"3302","Illinois","Washington County",17189,-16.1869575316218,"without"
"3303","Illinois","Wayne County",17191,-14.9948379357034,"without"
"3304","Illinois","White County",17193,-13.3396585871612,"without"
"3305","Illinois","Whiteside County",17195,-16.5672210843771,"without"
"3306","Illinois","Will County",17197,-19.9926404009841,"without"
"3307","Illinois","Williamson County",17199,-16.0321054596341,"without"
"3308","Illinois","Winnebago County",17201,-18.3678393611226,"without"
"3309","Illinois","Woodford County",17203,-15.4361765938304,"without"
"3310","Indiana","Adams County",18001,-21.4571091803647,"without"
"3311","Indiana","Allen County",18003,-23.1712209681214,"without"
