Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Ketchikan Gateway	Residential																																											
Kodiak Island	Retail & recreation	-7.5	-14.5	-8.5	-22.5	-7.5	1.0	-5.5	2.5	-14.5	-17.5	3.5	7.0	4.5	-11.5	6.0	9.0	31.0	2.0	2.0	-5.0	29.5	-7.0	-20.0	-8.5	8.5	21.5	-13.0	0.0	-9.0	-8.0	-4.0	-7.0	-16.0	-30.5	-28.0	-23.0	-31.0	-37.5	-44.0	-42.0	-39.0	-49.5	-51.0
Kodiak Island	Grocery & pharmacy																																											
Kodiak Island	Parks																																											
Kodiak Island	Transit stations																																											
Kodiak Island	Workplace		-20.5	7.0	7.0	7.0				2.0	-2.0	-1.0	5.0				-0.5	5.5	-1.5	7.0				5.0	11.5	5.5	8.5					-8.0	-14.0	-12.0	-15.5				-23.5	-37.5	-24.5	-23.5		
Kodiak Island	Residential																																											
Matanuska-Susitna	Retail & recreation	16.0	0.0	-11.0	-8.5	-1.0	-5.0	2.5	5.0	-1.0	1.5	14.0	12.0	11.0	10.5	8.0	-5.5	9.5	14.0	8.0	11.0	0.5	14.5	-2.0	15.0	14.0	15.5	11.0	5.0	9.5	-1.0	-14.0	-13.5	-21.0	-25.0	-35.0	-29.0	-31.0	-31.0	-31.5	-33.0	-34.5	-41.0	-48.0
Matanuska-Susitna	Grocery & pharmacy	4.0	-5.5	-8.0	-5.0	4.0	-0.5	1.0	0.0	-4.5	-5.0	5.5	4.0	3.0	6.0	7.0	-4.0	8.5	9.0	4.0	4.0	5.5	13.5	-1.0	3.0	6.5	15.5	19.0	17.5	15.0	18.0	3.5	8.0	3.5	4.0	-4.0	-5.5	-10.0	-12.0	-12.0	-13.5	-13.5	-12.5	-31.0
Matanuska-Susitna	Parks																																											
Matanuska-Susitna	Transit stations																																											
Matanuska-Susitna	Workplace	-8.0	-29.5	-17.5	-20.0	0.0	0.5	0.0	1.0	2.0	1.0	1.0	2.0	1.5	3.5	2.5	-3.0	1.0	1.0	-1.0	0.5	3.0	3.5	-19.0	-16.0	-15.5	-16.0	-17.0	-3.5	-2.0	-17.0	-20.0	-25.5	-29.0	-31.0	-22.0	-20.0	-36.0	-40.0	-42.0	-43.0	-43.0	-32.5	-33.0
Matanuska-Susitna	Residential	-0.5	6.0	4.0	5.5	-1.0	-1.0	-2.0	-1.0	-1.0	-0.5	-2.0	-2.0	-3.0	-3.0	-2.0	1.0	-1.5	-1.0	-1.0	-1.0	-1.5	-2.0	3.0	1.5	1.0	1.0	2.0	-1.0	0.0	3.0	5.0	8.0	9.0	11.0	8.0			14.5	15.0	15.5	17.0	11.0	
North Slope	Retail & recreation																																											
North Slope	Grocery & pharmacy																																											
North Slope	Parks																																											
North Slope	Transit stations																																											
North Slope	Workplace		-18.5	3.0	3.0	4.0				-0.5	3.5	-5.0	-7.0				-2.5	1.5	1.0	-4.0				4.0	2.0	5.0	-8.0	-42.5	-17.5			-5.0	-6.0	-7.5	-7.5				-13.0	-14.0	-19.0	-21.0	-9.0	
North Slope	Residential																																											
Sitka	Retail & recreation																																	-60.0										
Sitka	Grocery & pharmacy																																											
Sitka	Parks																																											
Sitka	Transit stations																																											
Sitka	Workplace		-30.0										-5.0																				-23.0	-23.0	-21.5				-31.0	-36.0	-32.0	-31.0		
Sitka	Residential																																											
Southeast Fairbanks	Retail & recreation																																											
Southeast Fairbanks	Grocery & pharmacy																																											
